hitlnk_name,scraper,category,left,phoneblock,hitlnk_freecall_plus,hitlnk_times,free_ratio src,hitlnk_rate,hitlnk_rate 2,hitlnk_ratelayer,button 2,button 3,button 4,button 5,button 7,hitlnk_freecall,textblue,hitlnk_seal src,mailto,tel,href
A. G. Mostaan - Fachzahnarzt für Kieferorthopädie,https://www.dasoertliche.de/?form_name=detail&id=0418095212120575582537&recuid=3BTCEE7INIT7MRU7XYKMYG7T2TKRZWQUOQ4KERNYP2YG4YIC&niceid=A-G-Mostaan-Fachzahnarzt-f%C3%BCr-Kieferorthop%C3%A4die-Kulmbach-Webergasse&buc=418&showbuc=0&verlNr=122&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=10,Fachzahnärzte für Kieferorthopädie,"Webergasse 4
							
							
						
						 
                        	95326 Kulmbach",Tel. 09221 35 55,Gratis anrufen!,Geöffnet bis 12:00 Uhr,https://ies.v4all.de/0122/OETB/0122/5/5425/57065425_220x130px.png,Web Bewertungen ansehen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,Freimonat für Digitalpaket,,,,,,
A.G.Stalltechnik & Genetik GmbH,https://www.dasoertliche.de/?form_name=detail&id=0567007534765557521708&recuid=ZONTZCQ4L7NOLXHFGZ3DU2K33NYAKDB2FDCTM6TPAYA7CAQ&niceid=A-G-Stalltechnik-Genetik-GmbH-Heede-Schuckenbrock&buc=567&showbuc=0&verlNr=166&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=11,Fachärzte für Humangenetik,"Schuckenbrock 9
							
							
						
						 
                        	26892 Heede",Tel. 04963 91 05 07,,Geöffnet bis 16:30 Uhr,,,,Jetzt bewerten!,Angebot einholen,,E-Mail,Website,Heise PRIME gratis testen,Gratis anrufen!,,,,,
A.G. Zahngesundheit Landkreis Schwäbisch Hall,https://www.dasoertliche.de/?form_name=detail&id=0655011629480545771361&recuid=5AWKSLBLLBW4M26GQR552ZNE7PXET7B53B4C2QELA3RXEFQC&niceid=A-G-Zahngesundheit-Landkreis-Schw%C3%A4bisch-Hall-Schw%C3%A4bisch-Hall-Hessental-Karl-Kurz-Str&buc=655&showbuc=0&verlNr=1133&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=12,Fachzahnärzte für Kieferorthopädie,"Karl-Kurz-Str. 36
							
							
						
						 
                        	74523 Schwäbisch Hall, Hessental",Tel. 0791 20 41 08 18,,,,,,Jetzt bewerten!,,,,,,Gratis anrufen!,,,,,
A. Kühtmann,https://www.dasoertliche.de/?form_name=detail&id=2244127960464552605391&recuid=LMLTARO6LBLHKNYQQ6ANXWF7DK26LUHUU5K7HJ5LQ23YF6L4AI&niceid=A-K%C3%BChtmann-Hamburg-Barmbek-S%C3%BCd-Gluckstr&buc=2244&showbuc=0&verlNr=1126&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=13,Fachärzte für Allgemeinmedizin,"Gluckstr. 54 c
							
							
						
						 
                        	22081 Hamburg, Barmbek-Süd",Tel. 040 20 97 64 18,,,,,,Jetzt bewerten!,,,,,,Gratis anrufen!,,,,,
A. Liparteliani Zahnarztpraxis Biedenkopf,https://www.dasoertliche.de/?form_name=detail&id=0095300572879563399800&recuid=6F6EGNPCOQ656XF5WNOJC4476PGAHW2ONYW22PNVGLOSS7IC&niceid=A-Liparteliani-Zahnarztpraxis-Biedenkopf-Biedenkopf-Schulstr&buc=95&showbuc=0&verlNr=117&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=14,Zahnärzte,"Schulstr. 3
							
							
						
						 
                        	35216 Biedenkopf",Tel. 06461 24 00,Gratis anrufen!,Geöffnet bis 12:00 Uhr,,3  Bewertungen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,,,,,
A-lSalamy Afrah Frauenarztpraxis u. histologisch-zytologisches Einsendelabor,https://www.dasoertliche.de/?form_name=detail&id=2239129154827552605163&recuid=2S2U3NLHP32PTWMHHY7EQZZASVDTOXIDALKQ6N2FIYXO4AQ&niceid=A-lSalamy-Afrah-Frauenarztpraxis-u-histologisch-zytologisches-Einsendelabor-Berlin-Neuk%C3%B6lln-Emser-Str&buc=2239&showbuc=0&verlNr=1126&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=15,Fachärzte für Frauenheilkunde und Geburtshilfe,"Emser Str. 6
							
							
						
						 
                        	12051 Berlin, Neukölln",Tel. 030 7 85 73 94,,Geöffnet bis 13:00 Uhr,,46  Bewertungen,1,Jetzt bewerten!,,,,,Gratis-Digitalcheck,Gratis anrufen!,,,,,
A.N.S.C. Clinic GmbH Clinic Bel Etage,https://www.dasoertliche.de/?form_name=detail&id=0184084611056531344539&recuid=MB2EMJ4XFU2U4OSOQSP4JAWZMWVJJ46E3VXJZ4VNZ7MINVTDAI&niceid=A-N-S-C-Clinic-GmbH-Clinic-Bel-Etage-D%C3%BCsseldorf-Unterbilk-Reichsstr&buc=184&showbuc=0&verlNr=102&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=16,Fachärzte für Neurochirurgie,"Reichsstr. 59
							
							
						
						 
                        	40217 Düsseldorf, Unterbilk",Tel. 0211 7 81 79 50,,Geöffnet bis 21:00 Uhr,,20  Bewertungen (+ 5 weitere),1,Jetzt bewerten!,Termin anfragen,2,,,Freimonat für Digitalpaket,Gratis anrufen!,,,,,
A. Nejad Facharzt für Innere Medizin,https://www.dasoertliche.de/?form_name=detail&id=0790686958658559265343&recuid=NJCQBZELZECEIZJEQ7RLHLWEPWD4LAWP6JVYP6VU7PMFAAQ&niceid=A-Nejad-Facharzt-f%C3%BCr-Innere-Medizin-Wuppertal-Elberfeld-Wiesenstra%C3%9Fe&buc=790&showbuc=0&verlNr=161&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=17,Fachärzte für Innere Medizin,"Wiesenstraße 15
							
							
						
						 
                        	42105 Wuppertal, Elberfeld",Tel. 0202 45 24 18,,Geöffnet bis 12:00 Uhr,,3  Bewertungen,1,Jetzt bewerten!,,,,,,Gratis anrufen!,,,,,
A. Ostad HNO-Facharzt,https://www.dasoertliche.de/?form_name=detail&id=0451906579289569618513&recuid=UGB4P25N67BI7I7OLJ3W6HAQVRSSE3RQFEYYE6DZLF3REVBARMBA&niceid=A-Ostad-HNO-Facharzt-Lingen-Ems-Sch%C3%BCttorfer-Str&buc=451&showbuc=0&verlNr=166&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=18,Fachärzte für Hals-Nasen-Ohrenheilkunde,"Schüttorfer Str. 5 a
							
							
						
						 
                        	49809 Lingen (Ems)",Tel. 0591 14 05 20 70,,Geöffnet bis 14:30 Uhr,,1  Bewertung,1,Jetzt bewerten!,,,,Website,,Gratis anrufen!,,,,,
a+p Frauenärzte am Grünen Kranz,https://www.dasoertliche.de/?form_name=detail&id=0599015938467478299115&recuid=KMS3TZU6WBCHQVLTQ3QKFEUSILUJT3GATVJIN5GQQK7WSAQ&niceid=a-p-Frauen%C3%A4rzte-am-Gr%C3%BCnen-Kranz-Rendsburg-Am-Gr%C3%BCnen-Kranz&buc=599&showbuc=0&verlNr=129&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=19,Fachärzte für Frauenheilkunde und Geburtshilfe,"Am Grünen Kranz 2
							
							
						
						 
                        	24768 Rendsburg",Tel. 04331 7 53 73,,Geöffnet bis 12:30 Uhr,,,,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,Heise PRIME gratis testen,Gratis anrufen!,,,,,
a+p Frauenärzte am Schiffbrückenplatz Tatjana Weißbeck,https://www.dasoertliche.de/?form_name=detail&id=0599011334692555532818&recuid=NXKMRR7BWK2UNJCNODMTVU3DPR326EX6NRWHBRIIUJHFOAQ&niceid=a-p-Frauen%C3%A4rzte-am-Schiffbr%C3%BCckenplatz-Tatjana-Wei%C3%9Fbeck-Rendsburg-Holsteiner-Str&buc=599&showbuc=0&verlNr=129&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=20,Fachärzte für Frauenheilkunde und Geburtshilfe,"Holsteiner Str. 7
							
							
						
						 
                        	24768 Rendsburg",Tel. 04331 2 51 55,,,,Web Bewertungen ansehen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,Heise PRIME gratis testen,Gratis anrufen!,,,,,
"A.P.P. Handels GmbH & Co. KG für Arzt-,  Pflege- und Patientenbedarf",https://www.dasoertliche.de/?form_name=detail&id=2244125232228552605391&recuid=LBKAG5BW3MKXMBDWWDAPFWX4DGDYPS424RLIZPEIQP2IDOT7AI&niceid=A-P-P-Handels-GmbH-Co-KG-f%C3%BCr-Arzt-Pflege-und-Patientenbedarf-Hamburg-Sasel-Saseler-Bogen&buc=2244&showbuc=0&verlNr=1126&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=21,Medizinischer Bedarf,"Saseler Bogen 2 b
							
							
						
						 
                        	22393 Hamburg, Sasel",Tel. 040 60 17 12 19,,,,,,Jetzt bewerten!,,,,,,Gratis anrufen!,,,,,
A. Prof. (TR) Dr. med. dent. Saduman O. Köklü Fachzahnarzt für Kieferorthopädie,https://www.dasoertliche.de/?form_name=detail&id=0264901680119566423908&recuid=WNX3A3ILHQXJ2T7DTACJIWNVWTHAJVQH3CZJQBENG7YAZN5XAI&niceid=A-Prof-TR-Dr-med-dent-Saduman-O-K%C3%B6kl%C3%BC-Fachzahnarzt-f%C3%BCr-Kieferorthop%C3%A4die-Schwelm-Bahnhofstr&buc=264&showbuc=0&verlNr=131&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=22,Zahnärzte,"Bahnhofstr. 28
							
							
						
						 
                        	58332 Schwelm",Tel. 02336 8 13 13,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/0131/0264/233201/I_233201_P_901630322_T_0000123020_1.gif?type=logo,1  Bewertung,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,,,,
A. Prof. (TR) Dr. med. dent. Saduman O. Köklü Fachzahnarzt für Kieferorthopädie,https://www.dasoertliche.de/?form_name=detail&id=0870901680116566424415&recuid=FDSTV5UBU6SANRLYCGTUDBSJGFCJ6XE4KIURDH2YW5PZQXZHAI&niceid=A-Prof-TR-Dr-med-dent-Saduman-O-K%C3%B6kl%C3%BC-Fachzahnarzt-f%C3%BCr-Kieferorthop%C3%A4die-Schwelm-Bahnhofstr&buc=870&showbuc=0&verlNr=131&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=23,Zahnärzte,"Bahnhofstr. 28
							
							
						
						 
                        	58332 Schwelm",Tel. 02336 8 13 13,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/0131/0870/233300/I_233300_P_901630318_T_0000123020_1.gif?type=logo,1  Bewertung,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,,,,
A. Prof. (TR) Dr. med. dent. Saduman O. Köklü Fachzahnarzt für Kieferorthopädie,https://www.dasoertliche.de/?form_name=detail&id=0883901680122566424427&recuid=NVULPMYM4IUUGSB5SL7P3CFUOTE5VUOZ35WJFGXNSOIZVP3CAI&niceid=A-Prof-TR-Dr-med-dent-Saduman-O-K%C3%B6kl%C3%BC-Fachzahnarzt-f%C3%BCr-Kieferorthop%C3%A4die-Schwelm-Bahnhofstr&buc=883&showbuc=0&verlNr=131&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=24,Zahnärzte,"Bahnhofstr. 28
							
							
						
						 
                        	58332 Schwelm",Tel. 02336 8 13 13,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/0131/0883/232402/I_232402_P_901630326_T_0000123020_1.gif?type=logo,1  Bewertung,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,,,,
a.r.chitects Alexander Rottmaier Dipl. - Ing. Architekt,https://www.dasoertliche.de/?form_name=detail&id=0593501735883576185233&recuid=LK2WDPJRY7KHJR3UP3GWFIIXJMTMUTOQDVKGZTBCXFOZY4KQAI&niceid=a-r-chitects-Alexander-Rottmaier-Dipl-Ing-Architekt-Ravensburg-Untere-Breite-Str&buc=593&showbuc=0&verlNr=214&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=0,Architektur,"Untere Breite Str. 47
							
							
						
						 
                        	88212 Ravensburg",Tel. 0179 6 69 50 59,Gratis anrufen!,Geöffnet bis 12:00 Uhr,,,,Jetzt bewerten!,,,E-Mail,Website,,,*,,,,
A.R.Z. - Ambulantes Rehabilitationszentrum Nürnberg gGmbH,https://www.dasoertliche.de/?form_name=detail&id=2248091153013552605631&recuid=PBEZTUGPNEEFMG2WXSOPXHP7HHN57ROURJ3IDQEA4P6Z3PS7AI&niceid=A-R-Z-Ambulantes-Rehabilitationszentrum-N%C3%BCrnberg-gGmbH-N%C3%BCrnberg-Langwasser-Rosenberger-Str&buc=2248&showbuc=0&verlNr=122&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=1,Krankenhäuser und Kliniken,"Rosenberger Str. 5
							
							
						
						 
                        	90471 Nürnberg, Langwasser",Tel. 0911 3 98-9010,,Geöffnet bis 19:00 Uhr,,1  Bewertung,1,Jetzt bewerten!,,,,,Freimonat für Digitalpaket,Gratis anrufen!,,,,,
"A. Reinecken, Waller & Kollegen Zahnärzte",https://www.dasoertliche.de/?form_name=detail&id=0146906424989574889294&recuid=6FEOPJLXUME562FD2U6PAU7L6W3FFEIF7D75K5HFGGKGTBHTAI&niceid=A-Reinecken-Waller-Kollegen-Zahn%C3%A4rzte-Moisburg-Dorfstr&buc=146&showbuc=0&verlNr=129&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=2,Zahnärzte,"Dorfstr. 18
							
							
						
						 
                        	21647 Moisburg",Tel. 04165 97 14 54,Gratis anrufen!,Geöffnet bis 20:00 Uhr,https://102m.de/02/0129/0146/416502/I_416502_P_906424989_T_0030029592_1.jpg?type=logo,Web Bewertungen ansehen,1,Jetzt bewerten!,Termin Online buchen,2,E-Mail,Website,,,,,,,
A. Rethschulte-Klute,https://www.dasoertliche.de/?form_name=detail&id=0557004011088557347040&recuid=TQPCGRAMDFP3EPWOZZYIIHEFRS4C7NS3U2O44VF7H2TEL3EVAI&niceid=A-Rethschulte-Klute-Osnabr%C3%BCck-Am-Werksberg&buc=557&showbuc=0&verlNr=156&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=3,Zahnärzte,"Am Werksberg 56
							
							
						
						 
                        	49086 Osnabrück",Tel. 0541 68 36 22,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/0156/0557/2000862_klute2000862_220x130.png,1  Bewertung,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,,,,,
A. Schmidt,https://www.dasoertliche.de/?form_name=detail&id=0498091402480536617551&recuid=ZQ7J7ZJCU576EHU7ZYCYACEBYL7EHAS7S7BMS2NQL2Y7CAQ&niceid=A-Schmidt-M%C3%BClheim-an-der-Ruhr-Mitte-Schulstr&buc=498&showbuc=0&verlNr=210&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=4,Fachärzte für Radiologie,"Schulstr. 13
							
							
						
						 
                        	45468 Mülheim an der Ruhr, Mitte",Tel. 0208 30 21 76-0,,Geöffnet bis 12:00 Uhr,,,,Jetzt bewerten!,,,,,Freimonat für Digitalpaket,Gratis anrufen!,,,,,
A & V Zahnärztlicher Notdienst e. V.,https://www.dasoertliche.de/?form_name=detail&id=2246040649691566508776&recuid=H3ONIUGR7KOR56Q6A7AQ3LLTP5CKEXMQPSY53ZL33IM26WON7MBA&niceid=A-V-Zahn%C3%A4rztlicher-Notdienst-e-V&buc=2246&showbuc=0&verlNr=128&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=5,Zahnkliniken,,Tel. 0221 29 01 02 00,Gratis anrufen!,,https://media.greven.de/ads/pic/02/0009/80p07342tl-220x130.png,1  Bewertung,1,Jetzt bewerten!,,,,Website,,,,,,,
A&V Zahnärztlicher Notdienst e.V.,https://www.dasoertliche.de/?form_name=detail&id=1070093062589575322164&recuid=3DY6PW7ECGYP5J7YJR5WA3DDY46W4TR6EFL7ADA2IMTHUYSZ4IBA&niceid=A-V-Zahn%C3%A4rztlicher-Notdienst-e-V-Dresden&buc=1070&showbuc=0&verlNr=230&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=6,Zahnärzte,Dresden,Tel. 0351 32 37 17 88,Gratis anrufen!,Heute auf Anfrage,,,,Jetzt bewerten!,,,,Website,Freimonat für Digitalpaket,,,,,,
A&V Zahnärztlicher Notdienst e.V.,https://www.dasoertliche.de/?form_name=detail&id=2244128065380576528130&recuid=2XJT4WSSCOJPHBPVG5NQAVT3SQZAEQD3MPNUGIYZHR4BOPPSAI&niceid=A-V-Zahn%C3%A4rztlicher-Notdienst-e-V-Hamburg&buc=2244&showbuc=0&verlNr=1126&kw=arzt&recFrom=26&pagePos=2&lastFormName=search_nat&hitno=7,Ärztliche Notdienste,Hamburg,Tel. 040 18 03 05 61,Gratis anrufen!,,https://ies.v4all.de/0122/OETB/1126/7/0057/4550057_220x130px.png,,,Jetzt bewerten!,,,,Website,,,,,,,
